Row Type,Action,Campaign status,Campaign,Bid strategy,Budget,Budget type,Currency code
Campaign,Edit,Enabled,Campaign 1 #27,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #24,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #9,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #4,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #22,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #13,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #32,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #18,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #2,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #10,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #14,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #25,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #16,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #19,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #20,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #6,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #23,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #31,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #8,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #28,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #5,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #15,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #17,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #12,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #29,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #3,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #11,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #21,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #26,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #7,maxsewu,10000, Daily,IDR
Campaign,Edit,Enabled,Campaign 1 #30,maxsewu,10000, Daily,IDR
