Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Currency code,Budget type,Bid strategy type,Bid strategy,Language,Location,Devices,Status,Ad group status,Ad group,Ad group type,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Description,Description 2,Final URL,Keyword status,Keyword,Type
Ad group,Add,,WebBaru,,,,,,,,,,,Eligible,Enabled,fleek,Standard,,,,,,,,,,,
Ad,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek,,Enabled,Responsive search ad,Wajah Bersih,Cerah merona,Kulit lebih mulus,Pembersih wajah terpercaya,"Cantik cerah, kulit mulus",https://dktrahlibisa.on.fleek.co,,,
Ad,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek,,Enabled,Responsive search ad,Wajah Bersih,Cerah merona,Kulit lebih mulus,Pembersih wajah terpercaya,"Cantik cerah, kulit mulus",https://dktrahlibisa.on.fleek.co,,,
Ad,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek,,Enabled,Responsive search ad,Wajah Bersih,Cerah merona,Kulit lebih mulus,Pembersih wajah terpercaya,"Cantik cerah, kulit mulus",https://dktrahlibisa.on.fleek.co,,,
Keyword,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek,,,,,,,,,,Enabled,pembersih wajah,Broad match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,WebBaru,,,,,,,,,,,Eligible,Enabled,fleek2,Standard,,,,,,,,,,,
Ad,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek2,,Enabled,Responsive search ad,Wajah Bersih,Cerah merona,Kulit lebih mulus,Pembersih wajah terpercaya,"Cantik cerah, kulit mulus",https://ahlinyabisa.on.fleek.co,,,
Ad,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek2,,Enabled,Responsive search ad,Wajah Bersih,Cerah merona,Kulit lebih mulus,Pembersih wajah terpercaya,"Cantik cerah, kulit mulus",https://ahlinyabisa.on.fleek.co,,,
Ad,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek2,,Enabled,Responsive search ad,Wajah Bersih,Cerah merona,Kulit lebih mulus,Pembersih wajah terpercaya,"Cantik cerah, kulit mulus",https://ahlinyabisa.on.fleek.co,,,
Keyword,Add,,WebBaru,,,,,,,,,,,Eligible,,fleek2,,,,,,,,,,Enabled,pembersih wajah,Broad match
